activity,smiles
1,CC(C)Cn1nc2ccc(cc2c1S(=O)(=O)c3cccc4ccccc34)N5CC[C@@H](N)C5
1,COc1c(OCCF)cccc1[C@H](O)C2CCN(CCc3ccc(F)cc3)CC2
1,Clc1cccc(c1)N2CC[C@H]3CNC[C@@H]23
1,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
1,CCCOc1cccc2C(=O)N3CCNC[C@H]3Cc12
1,CC(N)Cc1cn(C)c2ccc3OCCCc3c12
1,CCCN1CCC2(CC1)Oc3ccc(Br)cc3C4CC(=NN24)c5ccc(OC)cc5
1,CCN(CC)CCCOC(=O)N1c2ccccc2Sc3ccccc13
1,Cl.NC[C@H]1C[C@@H]1c2cccc(Cl)c2
1,Cc1c(CN2N=CC(=C(Cl)C2=O)N3CCNCC3)cccc1NC(=O)c4ccc(cc4)c5ccccc5
1,CN(C)c1nc(N[C@@H]2CC[C@@H](CC2)NC(=O)c3cccc(C)c3)ncc1C
1,Fc1ccc2[nH]c3CCC(CNC[C@H]4COc5c6CC(=O)Nc6ccc5O4)Cc3c2c1
1,C[C@H](N)CN1CCc2cc(F)c(Cl)cc12
1,Cl.NC[C@H]1C[C@@H]1c2cccc(c2)C(F)(F)F
1,Fc1ccc(cc1)c2ccc(cc2)C(=O)N3CCC(CC3)c4ncc[nH]4
1,CC(C)Oc1ccc(Cl)cc1[C@H]2C[C@@H]2CN.OC(=O)C(F)(F)F
1,C(N1CCC(CC1)c2nc3ccccc3[nH]2)c4ccc(cc4)c5ccccc5
1,COc1cc2CCNCC(C)c2cc1Cl
1,CN1CCC2(CC1)Oc3ccc(Br)cc3C4CC(=NN24)c5ccc(Cl)c(Cl)c5
1,Cl.CN(C)[C@H]1C[C@H](c2ccccc2Br)c3ccccc3C1
1,C[C@@H]1CNC[C@H]2Cc3ccc(nc3N12)C(F)(F)F
1,CCCN1CCC2(CC1)Oc3ccc(Cl)cc3C4CC(=NN24)c5ccc(F)cc5
1,CC(C)NC[C@H](O)COc1cccc2ccccc12
1,Cl.NC[C@H]1C[C@@H]1c2ccc(F)cc2
1,CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1
1,O=S(=O)(N1CCC(CC1)c2nc3ccccc3[nH]2)c4ccc(cc4)c5ccccc5
1,COc1cnc2C(=Cc3ccccc3Cn12)N4CCN(CC(C)(C)C(=O)O)CC4
1,CNc1nn2c3CCCCc3cnc2c1S(=O)(=O)c4ccccc4
1,CCc1cccc2C(=O)N3CCNC[C@H]3Cc12
1,N[C@@H]1CCN(C1)c2ccc3[nH]nc(c3c2)S(=O)(=O)c4cccc5ccccc45
1,Cl.Cc1ccccc1[C@H]2C[C@@H]2CN
1,CCCN1CCC(COc2nc3c(F)cccc3c4ccccc24)CC1
1,C\N=C\1/NC(=O)\C(=C\c2c[nH]c3ccc(Br)cc23)\N1
1,Clc1cccc(COc2ccc(Br)cc2OC3CNC3)c1
1,COc1ccccc1CCN2CCN(Cc3oc4ccccc4c3)CC2
1,Cc1ccc2N3CCNCC3NC(=O)c2c1
1,CC(C)(CN1CCN(CC1)C2=Cc3ccccc3Cn4cc(F)nc24)C(=O)O
1,CCc1ccc2C(=O)N3CCNC[C@H]3Cc2c1
1,Cc1c(Cl)ccc2C[C@H]3CNCCN3c12
1,CN(c1ccccc1)S(=O)(=O)c2ccc3CCNCCc3c2
1,COc1ccc(cc1OCCN2CCOCC2)N3CCN(C3=O)c4cccc(F)c4
1,Cc1ccc(cc1)c2nc(nc3CCNCCc23)C4CCCC4
1,Cl.CN(C)[C@H]1C[C@H](c2ccccc2Cl)c3ccccc3C1
1,Cl.NC[C@H]1C[C@@H]1c2ccccc2C#CCCCCO
1,C\N=C\1/NC(=O)\C(=C/c2c[nH]c3c(Br)cccc23)\N1C
1,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C
1,FC(F)(F)c1cccc2N3CCNCC3NC(=O)c12
1,Cl.CN(C)[C@H]1C[C@H](c2cccc(Br)c2)c3ccccc3C1
1,C\N=C\1/NC(=O)\C(=C\c2c[nH]c3ccccc23)\N1
1,NC1CCN(CC1)c2ccc3[nH]nc(c3c2)S(=O)(=O)c4cccc5c(Cl)cccc45
1,CCCN1CCC(COc2nc3c(Cl)cccc3c4ccccc24)CC1
1,Cl.COCC1(OC)c2ccccc2c3ccc(cc13)C(=O)N=C(N)N
1,Cl.CN(C)[C@@H]1C[C@@H](c2ccccc2Cl)c3ccccc3C1
1,Clc1ccccc1O[C@@H]2CCCc3ccc(nc23)N4CCNCC4
1,Cl.NC(=NC(=O)\C=C\c1ccc2c(c1)C(O)c3ccccc23)N
1,Cl.NC[C@H]1C[C@@H]1c2ccc(Cl)cc2
1,CN1CCc2c(C1)c3cccc4CCc5ccccc5n2c34
1,NCCn1ncc2ccc(O)cc12
1,COc1ccc(cc1OCCN2CCCCC2)N3CCN(C3=O)c4cccc(F)c4
1,C[C@@H]1CNC[C@@H]2Cc3ccc(C)c(C)c3N12
1,Cc1cc(C)c2C(=O)N3CCNC[C@H]3Cc2c1
1,Cl.CN(C)[C@H]1C[C@H](c2ccc(F)cc2)c3ccccc3C1
1,C[C@H](N)Cn1ccc2ccc3cccnc3c12
1,Cl.CCc1ccc(Cl)c2C(=O)N[C@H]3CNC[C@@H]3c12
1,Cc1cccc2N3CCNCC3NC(=O)c12
1,Clc1ccccc1O[C@H]2CCc3ccc(nc23)N4CCNCC4
1,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4
1,Cl.Cc1cccc2C(O)c3cc(ccc3c12)C(=O)N=C(N)N
1,C[C@H](N)Cn1ccc2ccc3ncccc3c12
1,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4
1,Cl.CCCOc1ccccc1[C@H]2C[C@@H]2CN
1,CC(C)Cc1nc2CCNCc2c(n1)c3ccc(F)cc3
1,Cc1nc(COc2ccc(Cl)cc2OC3CNC3)cs1
1,FCCCOc1ccccc1CN2CCN(Cc3oc4ccccc4c3)CC2
1,Cl.NC[C@H]1C[C@@H]1c2ccc(Cl)cc2F
1,OC(=O)C1CC(C1)N2CCN(CC2)C3=Cc4ccccc4Cn5ccnc35
1,O=S(=O)(c1cccc2ccccc12)c3nn(Cc4ccccc4)c5ccc(cc35)N6CCNCC6
