activity,smiles
1,CC1=CC=CN2C(=O)C(=C(C)N=C12)CCN3CCc4oc5ccccc5c4C3
1,CO\N=C\c1ccccc1OC(C)C2=NCCN2
1,COc1cc2OCC3C(CN4CCN(CCCc5ccccc5)CC4)ON=C3c2cc1OC
1,Cc1c(NC2=NCCN2)ccc3OCCNc13
1,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
1,CN(C)c1nc(N[C@@H]2CC[C@@H](CC2)NC(=O)c3cccc(C)c3)ncc1C
1,Cl.COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
1,C[C@@H](Oc1ccccc1c2cccc(c2)[N+](=O)[O-])C3=NCCN3
1,CCO\N=C\c1ccccc1OC(C)C2=NCCN2
1,C1CNC(=Nn2ncc3ccccc23)N1
1,COc1cccc(OC)c1C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25
1,C[C@H](Oc1ccccc1c2cccc(O)c2)C3=NCCN3
1,CC1(C)[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4
1,COc1cc2NC[C@H]3[C@H](CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC
1,COc1cccc2[C@@H]3CN(CCN4C(=O)Nc5c(sc6cccnc56)C4=O)C[C@@H]3CCc12
1,CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1
1,C\C(=C/c1ccccc1)\CN2CCN(C[C@@H]3ON=C4[C@H]3COc5cc(OC(=O)C=C)ccc45)CC2
1,CC(C)c1ccccc1OC(C)C2=NCCN2
1,C[C@@H]1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4cc(C)ccc34)cc2
1,O=C(C1CC1)c2ccc(OCCCc3c[nH]cn3)cc2
1,C1CN=C(NC(C2CC2)C3CC3)O1
1,CC1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4cccc(C)c34)cc2
1,CCC1=C(C(C(=C(COCCN=[N+]=[N-])N1)C(=O)NCCCN2CCC(CC2)(c3ccccc3)c4ccccc4)c5ccc(cc5)[N+](=O)[O-])C(=O)N
1,CN(C)c1nc(NCC2CCC(CN(C)S(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14
1,COc1ccc2CC3(CCc2c1)CN=CN3
1,C(CN1CCCN(CC2COc3ccccc3O2)CC1)OCc4cccnc4Oc5ccccc5
1,COc1ccccc1N2CCN(CCCNC3=C(C)C(=O)N(C)C(=O)N3C)CC2
1,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C
1,NC[C@H](O)c1ccc(O)c(O)c1
1,CCc1sc2ccc(Cl)c3CCN(C)Cc1c23
1,Cc1cc(c(O)c(C)c1CC2=NCCN2)C(C)(C)C
1,CN(C)c1nc(N[C@@H]2CC[C@@H](CC2)NS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)nc4ccccc14
1,COc1cc2OCC3C(CN4CCN(Cc5csc6ccccc56)CC4)ON=C3c2cc1OC
1,CN1CCc2c(C1)c3cccc4CCc5ccccc5n2c34
1,CCC1=C(C(C(=C(COCCCN)N1)C(=O)NCCCN2CCC(CC2)(c3ccccc3)c4ccccc4)c5ccc(cc5)[N+](=O)[O-])C(=O)N
1,C[C@H](c1c[nH]cn1)c2cccc(C)c2C
1,CC(Oc1ccccc1c2cccc(c2)[N+](=O)[O-])C3=NCCN3
1,Cl.Clc1cccc2c(N=C3NCCN3)n[nH]c12
1,NC(=N)NC(=O)Cc1c(Cl)cccc1Cl
1,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4
1,CC(Oc1ccccc1C2CCCC2)C3=NCCN3
1,C[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4
1,CN(C)C[C@H]1C[C@H]2[C@H](O1)c3ccccc3Cc4ccccc24
1,FC(F)(F)Oc1cc(Br)ccc1S(=O)(=O)NCC2CCC(CC2)Nc3ncc4ccccc4n3
1,Cc1ccccc1COC2=NCCN2
1,CCN(CC)CCOc1ccc(cc1)\C(=C(\Cl)/c2ccccc2)\c3ccccc3
1,COc1cccc(OC)c1OCCNCC2COc3ccccc3O2
1,COc1ccccc1N2CCN(CCCNC(=O)c3ccc4ccccc4c3)CC2
1,CC(OC1=NCCN1)c2ccccc2CC=C
1,Cl.N=C(NCc1occc1)Nc2ccc3CCCCc3c2
1,COc1cccc(c1)N2CCN(CCCCN3N=CC(=O)N(C)C3=O)CC2
1,CC(C)(C)Nc1ncccc1C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2
1,Cl.N=C(Nc1ccccc1)Nc2ccc3CCCCc3c2
1,C1CN=C(N1)[C@H]2CO[C@@H](CO2)c3ccccc3
1,Cc1sc(C)c2C(=CCCc12)c3c[nH]cn3
1,COc1cc2CCN(Cc3ccc(OC)c4oc(cc34)c5ccccn5)Cc2cc1OC
1,COc1ccc2CCC3(CN=CN3)Cc2c1
1,C1CC12c3ccccc3[C@H]4C[C@@]24c5c[nH]cn5
1,CNC(=O)C1=C(C)NC(=C(C1c2ccc(cc2)[N+](=O)[O-])C(=O)NCCCN3CCC(CC3)(c4ccccc4)c5ccccc5)C
1,CN(C)c1nc(NC2CCC(CNC(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14
1,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1
1,Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67
1,O=C(NCCN1CCN(CC2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5
