activity,smiles
1,Fc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)NCC5CCOCC5)cc1
1,CN1C(=O)C=C(N2CCCN(CC\C=C/3\c4ccccc4CCc5ccc(CC(=O)O)cc35)CC2)N(C)C1=O
1,NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1
1,CC(C)C(=O)NCc1ccc2Sc3ccccc3C[C@H](N4CCN(C)CC4)c2c1
1,OC(=O)c1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
1,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
1,CN1C(=O)C=C(N2CCN(CC\C=C\3/c4ccccc4COc5ccc(CC(=O)O)cc35)CC2)N(C)C1=O
1,CC(c1c(CCN(C)C)sc2ccccc12)n3ccnc3
1,COc1cc(cc(OC)c1OC)C(=O)N2CCC(CCN3CCC(CC3)C(=O)c4nc5ccccc5[nH]4)(C2)c6ccc(Cl)c(Cl)c6
1,COc1cc(cc(OC)c1OC)C(=O)N2CCC(CCN3CCC(CC3)C(=O)c4nc5ccccc5n4CCOc6occc6)(C2)c7ccccc7
1,COCCN(C)C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4
1,COc1c(OCCF)cccc1[C@H](O)C2CCN(CCc3ccc(F)cc3)CC2
1,Fc1ccc(Cn2c(nc3ccccc23)C4CCCN(Cc5occn5)C4)cc1
1,COc1nccnc1[C@H](C)C2=C(CCN(C)C)Cc3cc(F)ccc23
1,NCCCCCCCCCCc1c[nH]cn1
1,CN1C(=O)C=C(N2CCN(CCCN3c4ccccc4Sc5ccc(CCC(=O)O)cc35)CC2)N(C)C1=O
1,CNCC1C[C@H]2[C@H](O1)c3ccccc3Cc4ccccc24
1,CN(Cc1ccccc1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5
