activity,smiles
1,CC[C@@]12CCNC[C@@H]1Oc3ccc(O)cc23
1,C[C@H]1CN2CCN(Cc3cccc(Cl)c3)C[C@H]2C[C@@]1(C)c4cccc(O)c4
1,C[C@H]1CN2CCCC[C@@H]2C[C@@]1(C)c3cccc(O)c3
1,CO[C@]12C=CC3(CC14CCC[C@H]4O)C5Cc6ccc(O)c7O[C@H]2C3(CCN5CC8CC8)c67
1,COc1ccc(CNC[C@H](O)CN2CN(c3ccccc3)C4(CCN(CCc5ccccc5c6cccs6)CC4)C2=O)cc1
1,CC(CCN1CC[C@](C)([C@@H](C)C1)c2cccc(c2)C(=O)N)c3ccccc3
1,Cc1ccc(C(N2C3CCC2CC(O)(CCCO)C3)c4ccccc4Cl)c(Cl)c1
1,CC(=O)CN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O
1,COC(=O)[C@@H]1C[C@H](OC(=O)C=C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4cocc4
1,CC(N1CCC2(CC1)N(CNC2=O)c3ccccc3)c4ccccc4
1,Cl.Cl.Cl.Cc1ccc2nc(NC(=O)c3ccc(Cl)cc3)nc(N[C@@H]4CCCC[C@@H]4NC(=N)N)c2c1
1,Cc1ccnc(c1)[C@H]2C[C@H]3CC[C@@H](C2)N3C(c4ccccc4Cl)c5ccccc5Cl
1,Cc1ccc(C(N2C3CCC2CC(O)(C3)C4CCNC4=O)c5ccccc5Cl)c(Cl)c1
1,CCOCC(N1CCC(O)(CC1)c2ccccc2)c3ccccc3
1,CCCCCCNC(=O)NCCc1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1
1,Clc1ccc(CC(=O)N2C[C@H]3CC[C@@H]([C@@H]2CN3Cc4ccccc4)N5CCCC5)cc1Cl
1,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2C(=O)NCC(=O)NCc4ccccc4
1,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36OC(=O)c7ccncc7
1,Cl.CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)NC(=O)c3ccc4cc(O)ccc4c3
1,CC(C)(C)NC(=O)NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3
1,C[C@H]1C2CCCC1(CCN2CCc3ccccc3)c4cccc(O)c4
1,CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3Cc4cccs4)c5cccc(O)c5
